,Gender,Mean_Age,Admitted,Rejected,Department,Total Applicants,Acceptance Rate
0,Female,25,89,19,A,108,0.8240740740740741
1,Female,22,17,8,B,25,0.68
2,Female,24,202,391,C,593,0.3406408094435076
3,Female,23,131,244,D,375,0.34933333333333333
4,Female,24,94,299,E,393,0.23918575063613232
5,Female,24,24,317,F,341,0.07038123167155426
6,Male,22,512,313,A,825,0.6206060606060606
7,Male,22,353,207,B,560,0.6303571428571428
8,Male ,23,120,205,C,325,0.36923076923076925
9,Male ,24,138,279,D,417,0.33093525179856115
10,Male ,22,53,138,E,191,0.2774869109947644
11,Male ,25,22,351,F,373,0.058981233243967826
